王翼 国家安全生产监督管理总局信息研究院

王晓飞 中国安全生产报社新媒体中心

王恋一 国家安全生产监督管理总局宣传教育中心

谢允红 北京市总工会权益工作部

金良 天津市总工会权益保障部

郝建良 河北省总工会劳动和经济工作部

李丕旺 山西省总工会劳动保护部

金玮 吉林省总工会劳动保护部

邬明亮 上海市总工会权益保障部

董雷 江苏省总工会劳动和经济工作部

王明 安徽省总工会劳动和经济工作部

谭博 山东省总工会生产保护部

王全信 河南省总工会劳动和经济工作部

杨景龙 陕西省总工会权益保障部

张靖 甘肃省总工会经济技术部

李荣桓 中国建筑第七工程局

闫利民 开滦集团有限责任公司

程稍毅 安徽省黄山市总工会

高顺利 北京市燃气集团有限责任公司

项永福 神华准能集团大准铁路公司

杨强 神华四川能源公司

王飞宽 神华神朔铁路分公司机务段

王德清 神华神东煤炭集团补连塔煤矿

许耀亮 中铁四局电气化公司总经理

石荣 中国建筑第二 工程局有限公司北京分公司

任晓日 山西潞安矿业集团常村煤矿工会

张锐杰 山西潞安矿业集团漳村煤矿工会井口工作站

戴瑞海 国网浙江平阳县供电有限责任公司

赵常伟 国网新源山东沂蒙抽水蓄能有限公司

胡忠启 国网新源华东桐柏抽水蓄能发电有限责任公司

李铭蔚 国网晋江供电有限公司

李立华 湖南鸿达建筑有限公司工程师

田川 中国建筑第二工程局工会
佐江宏 山西潞安矿业集团五阳煤矿

赵明 国网徐州丰县供电公司

张挺军 中铁十四局集团有限公司董事长、党委书记
陈梅 中国铁路哈尔滨局集团公司齐齐哈尔车务段

王一 中国铁路北京局集团公司工会

张奋林 中国铁路呼和浩特局集团有限公司安全监察室

王建林 中国铁路西安局集团有限公司客运处

王莹 中国铁路成都局集团有限公司成都北车站
王秋荣 中国铁路济南局集团有限公司党委书记、董事长
胡勤 民航西南地区管理局副局长

廖常志 中国国际航空股份有限公司西南分公司工会专员

王蔚玉 北京首都机场股份有限公司副总经理
崔荣 新疆中泰(集团)有限责任公司工会办公室干事

郭正 新疆维吾尔自治区昌吉回族自治州总工会

谷学珍 新疆维吾尔自治区总工会阿克苏地区办事处

禚锦蓉 新疆生产建设兵团工会
刘宝增 中国石化西北石油局有限公司西北油田分公司
张立波 宁夏天地奔牛实业集团有限公司工会副主席

柴继昶 宁夏路桥工程股份有限公司安全环保部主任

