高生和 石嘴山市总工会劳动和经济工作部部长

刘建福 固原市总工会组织和宣教部部长
武建光 中华全国总工会网络工作部综合处处长

吴薇(女) 中华全国总工会权益保障部综合处处长
朱鲜梅(女) 喀什市总工会主席

徐金香(女) 奎屯市总工会党组书记、常务副主席

张萍(女) 石河子经济技术开发区工会工作委员会副主任
白海青 青海省总工会权益保障部部长

赵维玺 化隆回族自治县总工会办公室主任
邱玉福 定西市安定区总工会常务副主席
高卫林 榆林市总工会副主席

赵文华 咸阳市工人文化宫主任
沈玉芝(女,藏族)曲水县总工会主席
周文勇 保山市总工会办公室主任

许颖 红河哈尼族彝族自治州总工会劳动和经济工作部部长
罗黔华 贵阳市南明区总工会党组书记、副主席
杜洪 巴中市总工会党组书记、副主席

肖乾伦 新津县总工会党组书记、常务副主席

任艳(女) 遂宁市船山区总工会党组书记、常务副主席
莫亚群(女) 彭水苗族土家族自治县总工会副主席、经审会主任、女工委主任
邱尧(女) 澄迈县地方税务局工会主席
王珩 柳州市总工会保障工作部部长

吴达明 北海市总工会组织部部长

毛爱萍(女) 河池市总工会生产保障部部长

赵志航(壮族) 天等县工人文化宫主任
邓铁辉 高州市人大常委会副主任、总工会主席
唐萍(女) 衡阳市总工会劳动和经济服务部部长

谢小庚 湘潭市总工会财务部部长

李大富(土家族) 麻阳苗族自治县总工会党组书记、副主席
胡冠军 南阳市总工会办公室主任

王广峰 三门峡市总工会组织部部长

原晓阳(女) 新乡市卫滨区总工会副主席
满学锋 博兴县总工会党组书记、副主席

李茂銮 枣庄市峄城区总工会党组书记、常务副主席

谢岩(女) 烟台高新技术产业开发区福山园管理委员会机关工会副主席
陶浪 南昌市总工会财务部部长

钱迎春 万载县总工会经济技术与法律工作部部长
郑湘国 福州市总工会党组书记、副主席

郑文煌 莆田市总工会宣教与网络工作部部长
葛甫瑜 合肥市总工会办公室主任

谢立新 青阳县总工会党组书记

姜辉 阜阳市工人文化宫工会主席

刘军(女) 蚌埠市交通运输局交通运输工会工作委员会主任
张 明 龙泉市总工会主席、党组书记

朱红明(女) 宁波市北仑区新碶街道总工会副主席、大港社区工会联合会主席
刘文红(女) 江阴市总工会主席、党组书记

高振如 盱眙县总工会主席、党组书记
姚红钢 浦东新区总工会基层工作部部长
程毅敏(女) 哈尔滨市总工会组织部部长

张苏宁 齐齐哈尔市总工会组织部部长

汤慧春(女) 七台河市总工会女职工部部长

史云平 漠河县总工会副主席
赵春玲(女) 榆树市总工会副主席

武静杰(女) 四平市总工会组织部部长

历淑影(女) 公主岭市教育局工会副主席
陈东君 辽宁省总工会研究室主任
李玉明 鄂尔多斯市总工会办公室主任、财务部部长

包桂华(女,蒙古族) 锡林浩特市政协副主席、总工会主席
梁志强 山西省总工会组织工作部部长

史道义 沁源县总工会主席
尹英斌 河北医科大学第二 医院工会专职副主席

闫纯芳(女) 石家庄市裕华区总工会党组书记、常务副主席

田宏(女) 秦皇岛市北戴河区总工会党组书记、常务副主席

郭国龙 阜城县总工会党组书记、常务副主席
邢广 蓟州区总工会工人俱乐部副主任

张冬梅(女) 宝坻区总工会生产生活部部长
杨来福 顺义区总工会权益维护部部长
