王凤梅(女) 中国邮政集团公司宁夏回族自治区银川邮区中心局工会副主席
王芳(女) 靖远煤业集团有限责任公司工会办公室负责人
张跃山 酒泉钢铁(集团)有限责任公司工会经济技术宣教文体部部长
刘科学 陕西秦正建设集团有限公司工会主席
拉巴卓玛(女,藏族) 西藏高争建材股份有限公司工会主席
邓剑勇 昆明钢铁集团有限责任公司工会主席助理、生产保护部部长
钱海英(女) 云南东源煤业集团有限公司工会干部
严银 贵州电网有限责任公司工会生产民管部部长
杨岐 中国石油西南油气田分公司工会生产部部长
郑春霞(女) 四川成中控股集团股份有限公司工会主席
刘洪 重庆长安汽车股份有限公司工会副主席
李承英(女) 国网重庆市电力公司南岸供电分公司工会副主席、工会办公室主任
赖小萍(女) 海南电网有限责任公司工会女工委副主任
陈鹏(女) 富士康科技集团工会联合会主席
余渊 佛山永久纸业制品有限公司工会主席
陈应斌 湖南博长控股集团有限公 司党委副书记、工会主席
郭和平 富士康科技集团(武汉)科技工业园工会主席
陈国松 东风锻造有限公司党委工作部部长、工会副主席
杨文代 中国石油化工股份有限公司中原油田分公司油气储运中心党委副书记、纪委书记、工会主席
朱富勤 山东威海港股份有限公司工会主席
周峻 国网江西省电力有限公司上饶供电分公司工会生产生活专责
谢家华 林德(中国)叉车有限公司党委书记、工会主席
蔡发荣 康奈集团有限公司党委书记、工会主席
杨爱(女) 江苏江动集团有限公司工会主席、女工委主任
朱雪芹(女) 上海华日服装有限公司工会主席
李香花(女) 沃尔沃汽车(亚太)投资控股有限公司党委书记、工会主席
张国屏 上海隧道工程有限公司工会副主席、经审会主任
亢文奂 佳能大连办公设备有限公司工会主席
曹俊林 国网辽宁省电力有限公司铁岭供电公司工会副主席
于桂泉 国网天津市电力公司工会组织民主管理部副主任
刘建军 北京三元种业科技股份有限公司工会副主席
闫瑞波 大兴区魏善庄镇总工会服务站副站长
