罗林 中央宣传部新闻局新媒体管理处处长

张靓 中央宣传部新闻局办公室干部

裴顺洪 中央网信办秘书局会议处处长

李凤亭 中央网信办网络新闻信息传播局干部

王政坤 中央网信办网络安全协调局干部

张莉 中国电子信息产业发展研究院副研究员(借调中央网信办网络安全协调局)

杨剑勇 浙江财经大学计划财务处副处长 (借调教育部思想政治工作司)

刘海峰 四川省教育厅宣传思想工作处副处长

刘震 工业和信息化部网络安全管理局网络与数据安全处主任科员

钟华霖 四川省通信管理局副处长

赵云霞 公安部十一局副处长

冷阳 四川省公安厅网络安全保卫总队民警

昝新 中国人民银行科技司信息安全管理处主任科员

郭进 中国人民银行成都分行科技处安全科科长

李园园 国家广播电视总局网络司处长

李忠志 国家广播电视总局宣传司新闻处处长

汪春辉 四川省总工会网络和社会工作部副部长(主持工作)

钱丽萍 杭州市总工会技协办主任

王慕清 共青团中央宣传部产品处副调研员

苏呈祥 共青团成都市委书记

胡恩姣 全国妇联宣传部网络新媒体处干部

李婧铃 四川省妇联宣传部一级主任科员

田鹏 北京教育网络和信息中心副主任

韩国宁 北京市公安局网安总队政治处团委书记

杨斌 北京青少年网络文化发展中心主任

朱文强 天津市南开区委网信办主任

彭永刚 天津师范大学主任科员

孙兴 中国人民银行天津分行科长

李伟平 河北省网信办网络安全和信息化协调处干部

刘洪江 河北省网信办网络安全和信息化协调处干部

张凤臣 河北省信息安全测评中心副主任

杨宁 山西省太原市互联网信息办公室副主任

鲁哲 山西省运城市互联网信息办公室主任

王玉峰 山西省审计厅电子数据审计处处长

贾海云 内蒙古自治区公安厅网安总队支队长

马瑞成 内蒙古自治区阿拉善盟委网信办网络舆情监管科副科长

田凤宏 内蒙古自治区通辽市委网信办网络监管科科长

丑柏淇 辽宁省委网信办主任科员

白姗 辽宁省抚顺市委网信办专职副主任

闫东 辽宁省互联网协会办公室主任

胡富成 吉林省委网信办主任科员

丁隽 中国吉林网记者

刘凌宇 吉林省公安厅副支队长

陈雷 黑龙江省委网信办网安处主任科员

鲁子元 黑龙江省网络空间研究中心科员

王景慧 黑龙江省七台河市委网信办副主任

吴国栋 上海市委网信办副主任科员

李晓宇 上海市委网信办干部

周莹 上海市杨浦区新闻中心网络舆情和新媒体管理部副部长

陈宇青 江苏省委网信办主任科员

宋翼 江苏省苏州市委网信办副主任

梁瑄 荔枝网全媒体编辑主管

楼千里 浙江省杭州市网信办副主任科员

金鹏飞 浙江省台州市委网信办网宣中心副主任

方旭华 中国人民银行杭州中心支行科长

赵敬亭 安徽省合肥市委宣传部网宣办主任

王颖 安徽省网信办主任科员

叶广冬 安徽新媒体集团中安在线网站编辑

林承亮 福建省委网信办干部 (中级职称编辑)

许静娴 福建省委网信办网络宣传处干部

许力 福建省网络安全与密码重点实验室主任

杨璧成 江西省委网信办副主任科员

宋嗣伟 共青团江西省委主任科员

李力 南昌市网络信息研究中心副主任

白冰 山东省委网信办网络安全协调处一级主任科员

凌洁 山东省公安厅网络安全保卫总队一支队支队长

张高洁 山东省国家安全厅副主任科员

王沛栋 河南省委网信办综合处副研究员

李春才 河南省工业和信息化委员会信息安全处副处长

李小虎 郑州金水科教园区党工委副书记、管委会主任

王深 湖北省委网信办主任科员

黄国东 武汉市网信办副处长

刘媛媛 湖北省荆门市委宣传部网管办副科长

李浩 湖南省委网信办主任科员

虢建军 湖南省政协新闻信息中心副主任

伍晗 湖南省长沙县网络宣传管理办公室主任

林武 广东省潮州市委宣传部、市委网信办网络安全监管科科长

彭卓文 广东省委编办电子政务中心专业技术岗位十一级

张海波 广州市少年宫五级职员

邱崇钦 广西壮族自治区党委网信办副主任科员

彭锦民 南宁市互联网信息办公室副主任

林咏 广西壮族自治区玉林市委宣传部网信办主任

赵瀛 海南省委网信办科员

黄苗 海南省三亚市网信办主任科员

杨鹏 海南省军区政治工作局副营职干事

贾方庆 重庆市委网信办副调研员

杨麟 重庆市公安局网安总队主任科员

周波 中国人民银行合川中心支行主任科员

郑伟强 四川省委网信办二级调研员

刘宇 中国人民银行成都分行主任科员

徐亮 四川省总工会网络和社会工作部二 级主任科员

罗荣志 贵州省委网信办主任科员

潘峰 贵阳市互联网信息办公室专职副主任

陈丽竹 贵州广播电视台新媒体中心图文编辑

范宏 共青团云南省委宣传部部长

