马道玖 交通运输部海事局政策法规处处长

王汝岩 交通运输部海事局安全管理处副调研员

曾超 营口海事局鲅鱼圈海事处科员

盛余歆日照海事局VST中心值班长

崔元志 浦东海事局科员

张斌 宁波海事局船舶交通管理中心VST值班员

汪翔 广西海事局安全管理处副处长

叶心斌 三 亚海事局通航管理处(指挥中心)副处长
汪可约 江苏海事局指挥中心副主任科员

江山洪 长江武汉航道局副局长

郭小平 长江三峡通航管理局三峡趸902水手长

刘林 长江航运公安局宜昌分局秭归派出所民警

魏军 长江航务管理局运输服务处主任科员
张志学 上海国际轮渡有限公司苏州轮号餐厅组长

迟菡 中远海运客运有限公司客运领班
崔恒强 新疆新建旅客运输(集团)有限公司第一师分公司客运站副站长

黄艳梅 新疆五家渠客运服务中心站客运员

杨宏伟 新疆生产建设兵团奎屯旅客运输公司客运总站站长

张璐 石河子旅客运输服务中心站务员

王琳 五家渠市公安局交通警察大队办公室主任
袁菡 中国铁路乌鲁木齐局集团有限公司乌鲁木齐客运段北京车队列车员

吾甫·毛拉洪 阿图什公路管理局阿图什服务区主任

王春胜 新疆维吾尔自治区交通运输厅12328投诉处理中心运管局咨询服务中心主任科员

张楠 新疆维吾尔自治区道路运输管理局客运管理处副处长

陈曦 民航新疆管理局运输管理处副主任科员

游嘉 新疆维吾尔自治区经济和信息委员会经济运行局科员

屈向东 乌鲁木齐市公安局交通警察支队达坂城大队事故中队中队长

韩伟 新疆维吾尔自治区安全生产监督管理局协调与行业管理处副处长
张思思 吴忠市客车运输有限公司乘务员

何煜 中卫市道路运输管理局运输管理科科长

陈炜 宁夏公路管理局公路养护处干线养护科副科长

马锐 宁夏回族自治区交通运输厅运输处科员

周海生 中卫市公安局交通警察局静态交通管理大队大队长

冯源 宁夏回族自治区公安厅高速公路交通警察支队十大队民警

张国斌 宁夏回族自治区安全生产监督管理局副调研员

曹剑 宁夏回族自治区总工会宣教部副部长

强金晶 中国铁路兰州局集团有限公司银川车站团委书记
李葭 中国铁路青藏集团有限公司客货营销部客管室主任

李卫纲 青海省大通县汽车站站长

陈永顺 青海省汽车运输集团运输有限公司驾驶员

崔瑞婷 海东市乐都区交通运输综合行政执法大队监督局统计员

李慧君 青海省高等级公路建设管理局老营庄收费站副站长

杨全忠 中国邮政集团公司西宁邮区中心局邮件运输中心驾驶员

李佳生 青海省公安厅交通警察总队高速公路支队交通秩序科科长

魏桂玲 青海省安全生产监督管理局副处长

宋云 共青团青海省交通运输厅委员会干事
赵兰花 兰州交通运输集团有限责任公司汽车东站票务组长

吴岩城 甘肃省高速公路管理局平凉清障救援大队泾川中队队员

刘利华 甘肃省民航机场集团有限公司嘉峪关机场公司副经理

臧乃军 甘肃省兰州公路管理局高等级公路养护管理 中心巉柳养护巡 查 队队长

张寅 甘肃省公路路政执法管理局定西路政执法处十八里铺超限检测站路政员

潘尚秀 临夏回族自治州道路运输管理局科员

